S.no,Plant name(Botanical Name),Water level,Temperature,Sun light,Soil Moisture
1,Rose (Rosa spp.),High,Tolerates a range of temperatures,Partial Sun/Partial Shade Plants,Well-Drained
2,Tulip (Tulipa spp.),Low,"Prefer cooler, shaded areas",Shade Plants,Moist
3,Lavender (Lavandula spp.),Moderate,Warm to hot climates,Full sun,Moist to Wet
4,Sunflower (Helianthus annuus),High,Cool to temperate climates,Full sun,Moist
5,Marigold (Tagetes spp.),Low,"Hot, dry climates",Partial Sun/Partial Shade Plants,Well-Drained
6,Daffodil (Narcissus spp.),Moderate,Cool to temperate climates,Shade Plants,Consistently Moist
7,Hydrangea (Hydrangea spp.),Low,Warm to hot climates,Full sun,Moist
8,Petunia (Petunia spp.),High,"Prefer cooler, shaded areas",Partial Sun/Partial Shade Plants,Waterlogged
9,Hosta (Hosta spp.),Moderate,Tolerates a range of temperatures,Shade Plants,Well-Drained
10,Lily (Lilium spp.),Moderate,"Hot, dry climates",Full sun,Moist
11,Azalea (Rhododendron spp.),High,Warm to hot climates,Partial Sun/Partial Shade Plants,Moist
12,Daisy (Bellis perennis),Low,Cool to temperate climates,Full sun,Well-Drained
13,Iris (Iris spp.),Low,"Prefer cooler, shaded areas",Shade Plants,Waterlogged
14,Peony (Paeonia spp.),Moderate,Tolerates a range of temperatures,Full sun,Moist to Wet
15,Daylily (Hemerocallis spp.),High,"Hot, dry climates",Partial Sun/Partial Shade Plants,Consistently Moist
16,Geranium (Pelargonium spp.),High,"Prefer cooler, shaded areas",Full sun,Waterlogged
17,Zinnia (Zinnia spp.),Low,Warm to hot climates,Shade Plants,Moist
18,Chrysanthemum (Chrysanthemum spp.),Moderate,Cool to temperate climates,Partial Sun/Partial Shade Plants,Well-Drained
19,Dandelion (Taraxacum officinale),High,Tolerates a range of temperatures,Full sun,Moist to Wet
20,Hollyhock (Alcea spp.),Low,"Hot, dry climates",Shade Plants,Well-Drained
21,Bleeding Heart (Dicentra spectabilis),Moderate,Warm to hot climates,Full sun,Consistently Moist
22,Camellia (Camellia spp.),Low,Cool to temperate climates,Partial Sun/Partial Shade Plants,Moist
23,Forsythia (Forsythia spp.),High,Tolerates a range of temperatures,Partial Sun/Partial Shade Plants,Waterlogged
24,Orchid (Orchidaceae),Moderate,"Prefer cooler, shaded areas",Full sun,Consistently Moist
25,Butterfly Bush (Buddleja davidii),Moderate,"Hot, dry climates",Shade Plants,Moist to Wet
26,Peppermint (Mentha × piperita),High,Cool to temperate climates,Full sun,Moist
27,Foxglove (Digitalis purpurea),Low,Warm to hot climates,Partial Sun/Partial Shade Plants,Consistently Moist
28,Lilac (Syringa vulgaris),Low,Tolerates a range of temperatures,Full sun,Well-Drained
29,Honeysuckle (Lonicera spp.),Moderate,"Prefer cooler, shaded areas",Shade Plants,Waterlogged
30,Yarrow (Achillea millefolium),High,Tolerates a range of temperatures,Partial Sun/Partial Shade Plants,Moist
31,Crocus (Crocus spp.),Low,Warm to hot climates,Full sun,Moist to Wet
32,Bleeding Heart (Dicentra spectabilis),High,"Hot, dry climates",Partial Sun/Partial Shade Plants,Waterlogged
